combo,combo_size,games_together,total_combined_minutes,combined_points_per_36,combined_fg3a_per_36,combined_fg3_pct,combined_rebounds_per_36,combined_assists_per_turnover,average_plus_minus,combined_turnovers_per_36,combined_efg_pct,okc_bench_survival_score,sas_spacing_rebounding_score
Karl-Anthony Towns / Mitchell Robinson / Mohamed Diawara,3,27,1617.0,18.857142857142858,4.1187384044526905,0.40540540540540543,12.623376623376624,1.3786407766990292,18.037037037037038,2.293135435992579,0.6204710144927537,0.46840505984664993,0.6729242249269715
Jose Alvarado / Karl-Anthony Towns / Mohamed Diawara,3,20,1158.0,19.865284974093264,5.72020725388601,0.391304347826087,9.823834196891191,1.9404761904761905,18.75,2.61139896373057,0.6103603603603603,0.46430864531355126,0.6721667642997804
Ariel Hukporti / Landry Shamet / Miles McBride,3,12,610.0,16.229508196721312,7.081967213114754,0.5083333333333333,5.547540983606558,2.1904761904761907,15.833333333333334,1.2393442622950819,0.6785714285714286,0.5224182928200288,0.670267191049139
Jalen Brunson / Karl-Anthony Towns / Mohamed Diawara,3,30,2331.0,23.861003861003862,6.409266409266409,0.41204819277108434,7.876447876447877,2.3398692810457518,21.1,2.362934362934363,0.5839517625231911,0.4965616812246292,0.6695403187187624
Jose Alvarado / Karl-Anthony Towns,2,31,1401.0,20.839400428265524,5.113490364025696,0.3969849246231156,10.689507494646682,2.0654205607476634,14.387096774193548,2.7494646680942183,0.6058718861209964,0.43084850567681465,0.6690485538217541
Ariel Hukporti / Miles McBride / Mitchell Robinson,3,10,490.0,15.648979591836735,4.040816326530612,0.5454545454545454,10.579591836734695,1.5555555555555556,36.0,1.3224489795918368,0.7380952380952381,0.6662636788529618,0.6647338906797984
Jalen Brunson / Jericho Sims / Karl-Anthony Towns,3,21,1713.0,23.117338003502628,5.085814360770578,0.45867768595041325,9.099824868651488,2.0683760683760686,17.285714285714285,2.458844133099825,0.5958445040214477,0.4618803065712024,0.6644366703278928
Karl-Anthony Towns / Landry Shamet,2,96,5012.0,20.07581803671189,5.767757382282522,0.39975093399750933,9.27294493216281,1.3555555555555556,10.760416666666666,2.2625698324022347,0.5774612693653174,0.388895060072432,0.661456794006242
Jose Alvarado / Karl-Anthony Towns / Mitchell Robinson,3,25,1528.0,18.589005235602095,3.675392670157068,0.4230769230769231,11.992146596858639,1.881188118811881,22.24,2.3795811518324608,0.6306818181818182,0.5182137968234972,0.6559758581488239
Karl-Anthony Towns / Miles McBride,2,126,7253.0,19.556045774162417,6.005790707293534,0.39917355371900826,8.780366744795257,1.7181372549019607,9.365079365079366,2.025093064938646,0.5546662125340599,0.39062933779255327,0.6542603522394433
Ariel Hukporti / Karl-Anthony Towns,2,34,1466.0,19.25238744884038,3.3151432469304227,0.4222222222222222,13.334242837653479,1.236842105263158,8.852941176470589,2.799454297407913,0.5952380952380952,0.3516308609716138,0.6533781461217409
Jericho Sims / Karl-Anthony Towns / OG Anunoby,3,21,1751.0,19.03826384922901,4.872644203312393,0.42616033755274263,9.827527127355797,1.4545454545454546,18.428571428571427,1.8092518560822388,0.5907012195121951,0.4822882173337083,0.6526564314862724
Landry Shamet / Mohamed Diawara / OG Anunoby,3,22,1516.0,17.1688654353562,7.598944591029023,0.390625,4.74934036939314,1.626865671641791,24.045454545454547,1.5910290237467017,0.5852059925093633,0.5376171891546428,0.6517725421083919
Jose Alvarado / Karl-Anthony Towns / OG Anunoby,3,26,2046.0,19.35483870967742,5.577712609970675,0.3943217665615142,8.586510263929618,1.9090909090909092,21.23076923076923,2.129032258064516,0.6108923884514436,0.513439306300082,0.6507158885230743
Josh Hart / Karl-Anthony Towns / Mohamed Diawara,3,26,1862.0,18.367346938775512,4.6788399570354455,0.40082644628099173,10.672395273899033,1.8515625,19.653846153846153,2.4747583243823845,0.595952023988006,0.47015966111188323,0.6503321855213846
Jordan Clarkson / Karl-Anthony Towns / Miles McBride,3,46,3377.0,19.263251406573882,6.5667752442996745,0.38961038961038963,7.536867041753036,1.755,16.76086956521739,2.132069884512881,0.5527488855869243,0.43730381463073276,0.6493360627684971
Jose Alvarado / Josh Hart / Karl-Anthony Towns,3,29,2186.0,18.2964318389753,4.940530649588289,0.39666666666666667,10.111619396157366,2.2751677852348995,21.103448275862068,2.453796889295517,0.5973618090452262,0.49787132012250324,0.6492704187587224
Mohamed Diawara / OG Anunoby,2,29,1357.0,18.013264554163595,7.083271923360353,0.39325842696629215,5.7302873986735445,1.4285714285714286,14.206896551724139,1.8570375829034635,0.5819838056680162,0.4426563450434048,0.649057350973667
Jordan Clarkson / Landry Shamet / Miles McBride,3,27,1505.0,16.648504983388705,7.702325581395349,0.4161490683229814,3.7554817275747507,2.185185185185185,14.296296296296296,1.2916943521594684,0.5792452830188679,0.5014440296887848,0.6478339037152087
Karl-Anthony Towns / Landry Shamet / OG Anunoby,3,84,7216.0,19.536585365853657,5.926829268292683,0.4048821548821549,7.797671840354767,1.3717948717948718,17.107142857142858,1.9456762749445675,0.5858928571428571,0.4587798949696673,0.6468945907407448
Karl-Anthony Towns / Landry Shamet / Miles McBride,3,58,4254.0,18.473906911142453,6.423131170662906,0.4031620553359684,7.2863187588152325,1.8053097345132743,12.53448275862069,1.9125528913963328,0.5562273276904474,0.4239603952278158,0.6465967731531721
Jordan Clarkson / Karl-Anthony Towns / Mohamed Diawara,3,23,1387.0,20.868060562364818,5.450612833453497,0.4095238095238095,8.772891131939438,1.696629213483146,13.565217391304348,2.310021629416006,0.5824175824175825,0.4217029595581633,0.6464235040304176
Ariel Hukporti / Landry Shamet / OG Anunoby,3,20,1311.0,16.25629290617849,6.315789473684211,0.40869565217391307,6.453089244851259,1.3666666666666667,19.4,1.6475972540045767,0.6004728132387707,0.5019209632688365,0.6449781580518816
Jose Alvarado / Karl-Anthony Towns / Landry Shamet,3,25,1720.0,18.355813953488372,6.027906976744186,0.3819444444444444,7.660465116279069,2.019047619047619,24.0,2.197674418604651,0.604133545310016,0.5287093288012028,0.6441896962485628
Mitchell Robinson / Mohamed Diawara / OG Anunoby,3,24,1567.0,16.403318442884494,4.939374601148692,0.4046511627906977,8.661135928525846,1.4929577464788732,22.75,1.6311423101467772,0.634020618556701,0.5535516516033269,0.6395517380679379
Jose Alvarado / Karl-Anthony Towns / Miles McBride,3,10,579.0,18.21761658031088,6.27979274611399,0.45544554455445546,8.518134715025907,2.1315789473684212,24.8,2.3626943005181347,0.6009389671361502,0.46467438373025943,0.6386883894878299
Cameron Payne / Karl-Anthony Towns / Miles McBride,3,53,3905.0,19.415108834827144,6.296542893725992,0.3821376281112738,7.882202304737516,2.207070707070707,9.88679245283019,1.8253521126760563,0.5432136335970785,0.4159140124337588,0.6384024400619192
Ariel Hukporti / Mitchell Robinson / OG Anunoby,3,10,601.0,17.071547420965057,2.6955074875207985,0.5555555555555556,11.381031613976706,1.0666666666666667,35.9,1.7970049916805324,0.7242424242424242,0.6223931240243757,0.6376338778132953
Jordan Clarkson / Karl-Anthony Towns / Landry Shamet,3,40,2726.0,19.597945707997066,5.995597945707997,0.381057268722467,8.042553191489361,1.5662650602409638,17.5,2.1922230374174614,0.5671712393566698,0.44186738090070854,0.6369893010238369
Karl-Anthony Towns / OG Anunoby,2,157,10670.0,20.297656982193065,5.371321462043111,0.3907035175879397,9.055670103092783,1.288709677419355,10.363057324840764,2.091846298031865,0.5719953325554259,0.3899425456271878,0.636427734710163
Jordan Clarkson / Miles McBride / Mohamed Diawara,3,10,482.0,18.970954356846473,8.066390041493776,0.4444444444444444,5.452282157676349,3.533333333333333,27.7,1.120331950207469,0.5894736842105263,0.5904989205545876,0.6358863915407628
Landry Shamet / Mitchell Robinson / OG Anunoby,3,57,4166.0,16.43590974555929,5.098415746519443,0.4423728813559322,6.990878540566491,1.5064102564102564,14.666666666666666,1.3480556889102255,0.6394899536321483,0.5163417747644898,0.635175473822904
Karl-Anthony Towns / Landry Shamet / Mitchell Robinson,3,59,4117.0,17.094972067039105,4.240952149623512,0.41030927835051545,10.344425552586834,1.4318181818181819,15.661016949152541,1.9237308719941706,0.6042128603104213,0.4640090046208216,0.6345933554742352
Cameron Payne / Jalen Brunson / Karl-Anthony Towns,3,53,4488.0,24.232620320855617,6.208556149732621,0.3888888888888889,7.387700534759358,2.393220338983051,10.830188679245284,2.3663101604278074,0.5583371612310519,0.40796480239094957,0.6343650125222812
Cameron Payne / Karl-Anthony Towns / OG Anunoby,3,58,5050.0,20.11009900990099,5.938217821782178,0.39135654261704683,7.7916831683168315,1.8565737051792828,12.96551724137931,1.7893069306930693,0.5643469971401335,0.4414063590624625,0.6340471525804466
Jericho Sims / Karl-Anthony Towns / Mikal Bridges,3,21,1795.0,18.57158774373259,5.154317548746518,0.3968871595330739,8.944846796657382,1.51,18.61904761904762,2.0055710306406684,0.5861070911722142,0.47120784085559875,0.6335135808387992
Ariel Hukporti / Karl-Anthony Towns / Mitchell Robinson,3,10,534.0,18.674157303370787,2.292134831460674,0.5588235294117647,13.280898876404494,1.1777777777777778,33.4,3.033707865168539,0.6697530864197531,0.4939956204018329,0.6319638238442155
Jalen Brunson / Jose Alvarado / Karl-Anthony Towns,3,29,2297.0,22.772311710927298,5.7205050065302565,0.40273972602739727,7.569873748367436,2.4397590361445785,21.724137931034484,2.6016543317370484,0.5784688995215311,0.4871257193384372,0.6314927931373587
Jericho Sims / Josh Hart / Karl-Anthony Towns,3,20,1686.0,17.295373665480426,3.6298932384341636,0.4176470588235294,10.97508896797153,2.043010752688172,14.45,1.9857651245551602,0.6215970961887477,0.48521303050332254,0.6309771049458657
Landry Shamet / OG Anunoby,2,90,4858.0,17.5109098394401,6.913956360642239,0.40728831725616294,4.446274186908193,1.4947368421052631,10.422222222222222,1.407986825854261,0.5955839628123184,0.4530560944112634,0.6308027288270914
Ariel Hukporti / Jose Alvarado / Karl-Anthony Towns,3,10,578.0,21.114186851211073,4.671280276816609,0.4266666666666667,11.211072664359861,1.9130434782608696,20.1,2.865051903114187,0.6604651162790698,0.43342712748759904,0.6301842340393831
Josh Hart / Mohamed Diawara / OG Anunoby,3,21,1531.0,16.27171783148269,5.760940561724363,0.4,6.889614630960157,1.853658536585366,26.428571428571427,1.9281515349444807,0.6067864271457086,0.5575121085795192,0.6293058281131391
Josh Hart / Karl-Anthony Towns / Landry Shamet,3,88,7432.0,17.559203444564048,5.047362755651238,0.3877159309021113,9.363293864370291,1.8577586206896552,15.943181818181818,2.247578040904198,0.5736961451247166,0.44232101233711807,0.6284777012382996
Landry Shamet / Miles McBride,2,62,2548.0,14.665620094191523,7.643642072213501,0.41404805914972276,3.2354788069073783,3.0136986301369864,7.354838709677419,1.031397174254317,0.5559481743227326,0.48128201256109393,0.627806062331283
Josh Hart / Landry Shamet / Mohamed Diawara,3,22,1425.0,14.602105263157895,6.467368421052631,0.3828125,6.24,2.421875,21.318181818181817,1.6168421052631579,0.5739130434782609,0.5377029680025776,0.6267533931806805
Ariel Hukporti / Josh Hart / Karl-Anthony Towns,3,28,2068.0,16.74661508704062,3.2901353965183753,0.41798941798941797,12.220502901353965,1.7671232876712328,21.428571428571427,2.541586073500967,0.5813432835820895,0.4662546045251287,0.6264250032080543
Karl-Anthony Towns / Mikal Bridges / Mohamed Diawara,3,32,2377.0,18.885990744636096,5.346234749684476,0.38526912181303113,8.43584350021035,2.0873015873015874,16.3125,1.908287757677745,0.5835189309576837,0.47938840410401595,0.6259925023297066
Landry Shamet / Mitchell Robinson / Mohamed Diawara,3,23,1264.0,13.784810126582279,5.496835443037975,0.37823834196891193,7.917721518987341,1.8444444444444446,16.82608695652174,1.2816455696202531,0.6024930747922438,0.5232575062997227,0.6259008989782499
Jordan Clarkson / Miles McBride / OG Anunoby,3,38,2758.0,17.556200145032633,7.153009427121102,0.38503649635036497,4.894851341551849,1.6229508196721312,16.736842105263158,1.5924583031182016,0.5567853705486044,0.4663707785113672,0.6251206882337529
Jalen Brunson / Karl-Anthony Towns,2,156,10692.0,25.087542087542086,5.7407407407407405,0.3835777126099707,8.070707070707071,2.0516795865633073,10.60897435897436,2.606060606060606,0.5554928517682468,0.37833022877643885,0.6248623962271727
Josh Hart / Karl-Anthony Towns,2,163,10956.0,18.45673603504929,4.163198247535597,0.3851617995264404,11.04381161007667,1.8620218579234973,9.760736196319018,2.4052573932092005,0.574974924774323,0.39001243092670745,0.6228876302107408
Jose Alvarado / Mitchell Robinson / OG Anunoby,3,23,1511.0,16.296492389146263,4.550628722700199,0.41361256544502617,8.100595632031768,2.072463768115942,20.130434782608695,1.643944407677035,0.6459694989106753,0.5628143444995936,0.6226360220991976
Jordan Clarkson / Landry Shamet / OG Anunoby,3,34,2355.0,17.763057324840766,6.588535031847134,0.4060324825986079,4.830573248407643,1.4803921568627452,19.61764705882353,1.559235668789809,0.5898809523809524,0.5056715270803747,0.6224612913356499
Jose Alvarado / Josh Hart / Mitchell Robinson,3,24,1471.0,15.540448674371175,4.282800815771584,0.4,9.642420122365738,2.6233766233766236,22.208333333333332,1.884432358939497,0.6130434782608696,0.5616805522731034,0.6222426721454168
Jalen Brunson / Mohamed Diawara / OG Anunoby,3,28,2290.0,21.505676855895196,7.02707423580786,0.39373601789709173,4.637554585152839,2.3,24.321428571428573,2.0436681222707422,0.5632411067193676,0.5229498888521892,0.6217648775572021
Landry Shamet / Mohamed Diawara,2,27,1025.0,14.294634146341464,8.183414634146342,0.37339055793991416,3.7580487804878047,2.235294117647059,10.407407407407407,1.1941463414634146,0.5537313432835821,0.44673069908663887,0.6214547700216354
