game_id,date,season,game_type,team,opponent,team_win,wembanyama_points,wembanyama_player_ts_pct,wembanyama_player_efg_pct,wembanyama_fta,wembanyama_rebounds,wembanyama_blocks,wembanyama_assists,wembanyama_turnovers,wembanyama_pf,wembanyama_plus_minus,team_bench_points,team_bench_rebounds,team_bench_assists,team_bench_plus_minus,opponent_bench_points,opponent_bench_rebounds,opponent_bench_assists,opponent_bench_plus_minus,bench_margin,opp_fg3a,opp_fg3_pct
22400567,2025-01-15,2024-25,regular_season,SAS,MEM,0,13.0,0.34210526315789475,0.34210526315789475,0.0,12.0,8.0,2.0,1.0,3.0,-4.0,37,14,6,-24,33,20,7,3,4,38,0.421
22400582,2025-01-17,2024-25,regular_season,SAS,MEM,0,19.0,0.5,0.5,0.0,12.0,6.0,3.0,4.0,0.0,-17.0,33,16,5,-79,44,14,13,39,-11,44,0.432
22400592,2025-01-19,2024-25,regular_season,SAS,MIA,0,21.0,0.5087209302325582,0.5277777777777778,6.0,10.0,1.0,3.0,3.0,2.0,-10.0,32,18,11,-34,36,23,12,13,-4,33,0.545
22400621,2025-01-23,2024-25,regular_season,SAS,IND,1,30.0,0.7142857142857143,0.7142857142857143,0.0,11.0,5.0,6.0,4.0,0.0,18.0,53,28,20,60,33,15,10,-81,20,43,0.302
22400633,2025-01-25,2024-25,regular_season,SAS,IND,0,20.0,0.5494505494505495,0.5,5.0,12.0,1.0,2.0,4.0,1.0,-13.0,19,15,3,-118,47,21,12,95,-28,39,0.436
22400671,2025-01-29,2024-25,regular_season,SAS,LAC,0,23.0,0.6318681318681318,0.59375,5.0,12.0,3.0,4.0,3.0,5.0,-7.0,32,8,6,-16,25,11,3,-18,7,24,0.5
22400684,2025-01-31,2024-25,regular_season,SAS,MIL,1,30.0,0.6499133448873484,0.575,7.0,14.0,6.0,1.0,1.0,3.0,9.0,46,20,16,73,40,18,5,-60,6,37,0.324
22400693,2025-02-01,2024-25,regular_season,SAS,MIA,0,,,,,,,,,,,33,19,16,19,31,16,6,-3,2,42,0.31
22400703,2025-02-03,2024-25,regular_season,SAS,MEM,0,27.0,0.5849220103986136,0.55,7.0,10.0,2.0,5.0,4.0,3.0,8.0,43,20,10,-62,23,13,14,27,20,36,0.389
22400719,2025-02-05,2024-25,regular_season,SAS,ATL,1,24.0,0.6479481641468683,0.6,8.0,12.0,1.0,2.0,1.0,5.0,-12.0,32,13,6,12,16,12,4,-30,16,42,0.381
